,,CH4,SUM,,3137.49,3063.66,2988.06,2917.81,2851.51,2797.24,2746.35,2716.13,2692.61,2667.92,2642.89,2618.84,2595.84,2574.07,2555.37,2535.43,2516.05,2498.28,2476.96,2456.72,2433.3,2408.2,2384.69,2358.4,2333.41,2307.74,2281.67,2258.85,2233.76,2203.82,2170.8,2131.68,2093.62,2052.72,2016.78,1979.26,1946.56,1919.08,1890.48,1861.91,1827.85,1794.89,1758.94,1725.98,1693.03,1661.23,1633.53,1609.4,1585.59,1560.02,1533,1507.02,1480.17,1449.72,1423.96,1394.92,1367.88,1341.15,1320.52,1302.89,1285.01,1266.23,1247.58,1227.88,1208.98,1190.18,1170.69,1151.63,1132.91,1112.63,1093.17,1073.97,1054.31,1034.7,1015.35,995.54,975.94,956.77,937.33,918.12,898.89,880.52,861.24,842.74,824.32,805.96,787.84,769.48,751.07,733.48,716.26,698.43,681.16,664.37,648,631.62,615,599.6
World,PIK,Total excluding LULUCF,KYOTOGHG,MtCO?e,10100,9420,8850,9490,9340,9030,8890,8690,8260,7970,8200,7870,7460,7260,6940,6740,7070,7480,7780,7440,7420,7020,7040,6970,6930,6430,6240,6650,6130,6550,6550,6340,6040,6030,6290,5980,5790,5700,5530,5380,5450,5080,4910,4720,4660,4430,4340,4250,4120,3930,3810,3710,3630,3510,3430,3420,3370,3280,3130,3150,2940,2850,2790,2760,2710,2610,2510,2450,2300,2190,2160,2100,2060,1980,2000,1910,1800,1740,1710,1640,1600,1530,1500,1450,1400,1350,1320,1290,1240,1190,1170,1150,1110,1080,1020,984,953,927
World,PIK,Other,CH4,MtCO?e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Agriculture,CO2,MtCO?e,13.4,12.2,10.6,14.2,14.7,13.9,14.2,14.2,12.4,11.7,11.9,10.8,10,9.44,8.7,8.25,9.04,9.89,10.7,9.81,9.75,8.93,8.81,8.71,8.28,7.66,7.41,7.99,6.49,8.08,8.57,8.38,7.81,8.09,9.14,8.53,7.98,7.77,7.47,7.29,7.29,6.5,6.12,5.79,5.66,5.27,5.19,4.98,4.73,4.39,4.14,3.93,3.77,3.54,3.45,3.38,3.35,3.2,2.94,2.85,2.59,2.48,2.42,2.36,2.3,2.15,2.03,1.97,1.78,1.66,1.61,1.59,1.47,1.36,1.42,1.33,1.2,1.11,1.07,1.01,0.96,0.88,0.85,0.79,0.72,0.67,0.63,0.58,0.54,0.53,0.51,0.49,0.46,0.43,0.37,0.35,0.32,0.31
World,PIK,Total excluding LULUCF,F-Gas,MtCO?e,5.29,4.77,4.29,3.87,3.52,3.25,3.07,3.01,3.37,4.33,5.75,7.48,9.35,11.2,13,14.4,15.3,15.7,15.3,14.1,12.3,10.2,7.85,5.52,3.39,1.63,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Industrial Processes and Product Use,KYOTOGHG,MtCO?e,620,575,525,497,482,469,451,433,432,426,425,423,417,416,414,419,432,442,444,439,426,404,400,395,390,384,380,381,379,379,383,384,384,385,387,386,387,387,386,385,385,386,385,384,384,384,383,383,381,382,382,382,382,382,383,383,383,383,372,408,338,316,300,295,280,259,232,220,194,161,164,150,152,149,156,141,117,112,106,94,84.5,70.4,69.5,68.6,64.1,56.3,54.1,55,52.3,48.4,47.5,46.2,43.9,38.6,35,31.3,28.8,23.8
World,PIK,Energy,CH4,MtCO?e,935,917.5,900,885,870,857.5,845,835,825,812.5,800,787.5,772.5,760,745,735,725,717.5,712.5,710,705,705,702.5,700,700,697.5,695,692.5,690,682.5,677.5,667.5,657.5,647.5,635,622.5,607.5,592.5,575,555,532.5,505,480,452.5,427.5,402.5,382.5,365,350,335,320,305,292.5,280,267.5,257.5,247.5,238.5,212.25,206.5,200.75,195,189.5,184,178.25,172.75,167.5,162,156.75,151.75,146.5,141.5,136.5,131.75,127,122.5,118,113.75,109.75,105.5,101.75,98,94.5,91.25,88,85,82.25,79.5,77,75,73,71.25,69.75,68.25,67.25,66.5,66,65.75
World,PIK,Industrial Processes and Product Use,N2O,MtCO?e,46.19,43.51,40.83,38.44,36.06,33.67,31.29,28.46,25.36,21.84,18.12,14.33,10.67,7.3,4.35,2.05,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Total excluding LULUCF,N2O,MtCO?e,941.68,864.2,780.76,700.3,625.8,563.22,518.52,500.64,491.7,488.72,482.76,479.78,473.82,470.84,467.86,464.88,461.9,458.92,455.94,452.96,447,444.02,438.06,432.1,426.14,420.18,414.22,408.26,402.3,393.36,384.42,375.48,366.54,357.6,348.66,342.7,333.76,330.78,327.8,321.84,318.86,312.9,309.92,303.96,300.98,296.51,292.64,289.06,285.48,281.61,277.74,273.56,269.09,264.92,260.45,255.98,251.51,247.04,237.21,234.82,233.04,230.95,229.16,227.08,224.69,222.31,219.63,216.65,211.88,204.43,194.89,184.46,173.44,162.71,152.58,144.53,138.57,135.89,134.7,133.8,132.91,132.01,131.42,130.52,129.63,128.74,127.84,126.65,125.46,123.97,122.18,120.09,117.71,115.33,112.64,109.96,106.98,104
World,PIK,Waste,CH4,MtCO?e,440,422.5,407.5,395,380,367.5,355,345,337.5,330,322.5,315,307.5,300,292.5,287.5,280,275,270,262.5,257.5,252.5,247,241.75,236.75,231.75,227.25,223,218.75,214.75,211,207,203.25,199.5,196,192.25,189,185.5,182.25,179,175.75,172.5,169.5,166.5,163.5,160.75,158,155.5,152.75,150.5,148,145.5,143.25,141,138.75,136.75,134.5,132.75,129.5,128,126.75,125.25,124,122.75,121.25,120,118.75,117.5,116.25,115,113.5,112.25,111,109.75,108.5,107.5,106.5,105.5,104.5,103.75,103,102.25,101.5,100.75,100,99.5,98.75,98,97,96.25,95.5,94.75,94,93.25,92.5,91.75,91,90.25
World,PIK,Waste,CO2,MtCO?e,5.01,4.21,4.42,6.51,7.32,7.16,7.47,7.63,6.96,7.05,6.97,6.43,6.03,5.87,5.44,4.95,5.23,5.73,6.07,5.71,5.75,5.09,5.42,5.34,5.03,4.67,4.16,4.74,4.42,4.29,4.34,4,3.69,3.97,4.33,3.97,3.82,3.58,3.52,3.47,3.37,3.17,2.95,2.88,2.79,2.65,2.61,2.52,2.37,2.28,2.12,2.03,1.96,1.9,1.69,1.75,1.76,1.7,1.6,1.52,1.44,1.36,1.36,1.37,1.4,1.33,1.29,1.25,1.13,1.09,1.07,1.08,1.07,1,1.02,0.96,0.86,0.83,0.86,0.82,0.82,0.8,0.76,0.72,0.67,0.65,0.64,0.6,0.55,0.52,0.52,0.52,0.49,0.48,0.41,0.38,0.37,0.38
World,PIK,Total excluding LULUCF,CO2,MtCO?e,6000,5460,5050,5840,5830,5640,5600,5450,5050,4790,5050,4750,4370,4180,3890,3720,4070,4490,4820,4510,4510,4150,4210,4170,4160,3700,3540,3980,3490,3950,3990,3830,3580,3610,3930,3660,3510,3450,3310,3190,3300,2970,2840,2690,2660,2470,2420,2350,2250,2090,2000,1930,1880,1800,1750,1770,1750,1690,1570,1610,1420,1350,1320,1310,1280,1200,1120,1080,955,871,872,843,836,781,829,775,690,650,633,590,567,521,506,480,446,414,406,390,358,337,332,328,308,298,256,243,231,224
